intent,phrase
audio_volume_down,"пожалуйста, убавь громкость в плейере "
audio_volume_down,сделай громкость потише
audio_volume_down,"убери громкость на динамиках, пожалуйста"
audio_volume_down,сделай громкость тише
audio_volume_down,тише
calendar_query,я свободен в воскресенье
calendar_query,где утренняя встреча во вторник
calendar_query,мой недельный план
calendar_query,у меня что-нибудь запланировано на 5
calendar_query,уведоми меня о предстоящих событиях
calendar_remove,можешь удалить прием к стоматологу
calendar_remove,удали все повторяющиеся собрания персонала
calendar_remove,удали день отца из календаря
calendar_remove,"пожалуйста, очисти мой календарь"
calendar_remove,удали календарь
calendar_set,"в четверг в три часа дня педагогический совет, о котором мне нужно напомнить"
calendar_set,добавь деловой обед с Лизой 2-го января в 00:30
calendar_set,напоминай мне каждый день о ланче в 2 часа дня
calendar_set,запланируй ужин с Сарой и Джейми
calendar_set,установи повторяющееся событие
datetime_convert,"8 часов утра по манильскому времени, а сколько по восточному"
datetime_convert,"когда на востоке 9 часов, сколько времени на западе"
datetime_convert,"можешь заменить мой часовой пояс на часовой пояс, в котором я сейчас нахожусь"
datetime_convert,переключи на время Лос-Анджелеса
datetime_convert,какая разница во времени между восточным и тихоокеанским временем
general_affirm,да
general_affirm,"да, все верно"
general_affirm,"да, ты все сделала правильно"
general_affirm,"да, это было превосходно"
general_affirm,"да, верно"
general_confirm,"не могла бы ты проверить то, что я сказал, пожалуйста"
general_confirm,"не могла бы ты проверить и подтвердить детали, пожалуйста"
general_confirm,"не могла бы ты, пожалуйста, проверить вопрос "
general_confirm,"ты правильно поняла то, что я сказал "
general_confirm,"проверь и подтверди детали, пожалуйста"
general_joke,какая самая смешная шутка на свете
general_joke,расскажи шутку
general_joke,расскажи забавку
general_joke,"расскажи мне шутку, пожалуйста"
general_joke,какая шутка сегодня самая популярная
general_quirky,как на нас влияет деторождение и население
general_quirky,"что произойдет, если соединить велоцираптора и бегемота"
general_quirky,как выплавлять сталь
general_quirky,я хорошо провел время в этот солнечный день
general_quirky,у меня сегодня был расслабляющий день
general_repeat,"давай попробуем сказать то, что ты сказала, еще раз"
general_repeat,"пожалуйста, повтори это еще раз"
general_repeat,"я бы хотел услышать то, что ты сказала еще раз"
general_repeat,"пожалуйста, не могла бы ты повторить еще раз"
general_repeat,скажи еще раз
iot_coffee,"сделай кофе, пожалуйста"
iot_coffee,"пожалуйста, включи кофеварку и начни процесс заваривания"
iot_coffee,сделай мне кофе через 5 минут
iot_coffee,можешь включить кофемашину за меня
iot_coffee,"можно мне, пожалуйста, американо как в кафе"
iot_hue_lightchange,розовый - это то что нужно
iot_hue_lightchange,сделай контраст света 1
iot_hue_lightchange,поменяй лампочки в моем доме на голубой
iot_hue_lightchange,смена цвета лампочек
iot_hue_lightchange,поменяй светлый цвет на темный
iot_hue_lightoff,выключи офисный свет
iot_hue_lightoff,"можешь, пожалуйста, выключить свет"
iot_hue_lightoff,выключи свет в гостиной
iot_hue_lightoff,выключи свет во второй спальне
iot_hue_lightoff,"пожалуйста, потуши свет"
iot_wemo_off,"можешь, пожалуйста, выключить вилку вемо"
iot_wemo_off,"пожалуйста, выключи умную розетку"
iot_wemo_off,выключи вай-фай
iot_wemo_off,выключи мою вемо розетку
iot_wemo_off,"пожалуйста, выключи вилку вемо"
play_game,открой пасьянс
play_game,ты умеешь играть в крестики-нолики
play_game,давай поиграем в викторину
play_game,поиграй со мной в скрэббл
play_game,скачай игру дуэт
play_music,включи джингл белз
play_music,воспроизведи название песни
play_music,проиграй все песни металики в случайном порядке
play_music,"пожалуйста, воспроизведи эту песню элвиса пресли заново"
play_music,воспроизведи этот плейлсит в случайном порядке
play_podcasts,включи подкаст о последних видео по йоге
play_podcasts,"пожалуйста, перейди к следующей дате"
play_podcasts,перейди к третьему выпуску этого подкаста
play_podcasts,воспроизведи следующий выпуск подкаста
play_podcasts,воспроизведи последний загруженный подкаст
recommendation_events,что происходит в моем городе
recommendation_events,есть ли какие интересные события в моем районе
recommendation_events,любые развлечения в районе
recommendation_events,что запланировано на сегодня в моем районе
recommendation_events,где проходит мероприятие
recommendation_movies,порекомендуй фильм с участием джастина бибера
recommendation_movies,можешь посоветовать фильмы в ближайшем кинотеатре
recommendation_movies,что сейчас показывают в бри плаза 5
recommendation_movies,логан - интересный фильм
recommendation_movies,какие фильмы сейчас показывают в местном кинотеатре
transport_taxi,вызови мне такси до жд вокзала
transport_taxi,мне нужно такси завтра в 8 утра до работы
transport_taxi,какой номер ближайшей таксомоторной компании
transport_taxi,найди транспорт до Рима
transport_taxi,забронируй мне такси повышенной комфортности на сегодня в 5 вечера
